,,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,120,121,122,123,124,125,126,127,128,130,131,132,133,134,__
041,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,1684,0,0,0,179944726.3,0,33268.47525,0,200,0,0,0,0,0,5800,0,7109.312174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8950.010037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,78409.19455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180082445.2
042,___,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.8109018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E+08,0,0,0,0,0,0,0,0,0,0,1364.40767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166075210.3
043,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5397,0,0,0,0,2276,0,0,0,0,0,0,11191,0,0,0,0,0,0,39391.8653,0,1004557075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402.370713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004620733
044,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12700.5,12700.5,0,0,0,0,69042,1728024,0,0,0,0,0,0,0,191650907,193787.7577,193787.7577,741.0298376,0,0,76741.07928,32226.35665,1712.802614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10826.11277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193983196.9
045,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,112324,542382808.8,41607893.26,9507.123029,2030,0,2485.824396,0,0,1231.721684,0,0,0,0,0,0,0,0,0,0,0,0,0,2280.266905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640.8074088,577.655409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584121912.5
046,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41607893.26,4.16E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83215786.51
047,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0197755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12915,0,0,0,0,0,249.139118,16334,380,0,176386359.8,181191,0,27479.53562,13589.62655,0,3791.203844,0,0,0,14266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261564.7681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176918266.1
048,_________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30054,0,0,0,0,0,0,0,0,0,0,0,55.6597522,0,0,44499,0,0,0,51.74789369,862819904.8,0,810.4727832,311854.1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5511.531751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863212741.4
049,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E+08,0,0,0,0,16651,0,124.9477272,33546,122000,3359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166663925
050,__________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405.728326,3226.303719,11903.85357,0,0,0,0,0,0,0,0,0,0,0,0,0,11026.26603,1000.404254,0,8103.034782,341.7613495,2105.850955,0,2280.921699,0,0,27401.40908,10684.31743,0,203497835.5,302682.9131,60318.20499,86819.2453,0,0,2010.217562,17.00687232,8093.519582,1556.629019,9860.984732,200.0808508,0,10301.66281,10301.66281,9982.033646,1367.798378,61115.75236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208089.74,11.41252821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205350044.2
051,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3201,0,0,0,0,0,101.6711859,16929,1951,1951,1093.950473,18633.98647,0,41535.2719,1.35E+09,95.17800417,82932.94499,7014,0,0,5924,142,0,0,0,0,456.5,456.5,0,0,8330.281466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273611.9474,178.378331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347061816
052,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00264854,0,0,3884.69671,0,0,0,1798.439488,0,0,444.0371678,3401,0,1471.835366,906.0751302,0,26193.68045,55018.16084,670095950.1,54368.55569,32740,0,5247.447435,7006,0,23656.35623,0,0,32795,0,0,525.0267502,2537.306817,613.0042109,0,0,0,0,0,12038.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095556.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671456181.3
053,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40112.94823,0,0,0,0,0,0,807.0041343,0,0,23522.75212,0,0,0,0,0,0,0,235.1753295,0,0,63958,34,0,0,0,0,948.8333498,1624.086281,0,0,30.01377834,662,0,122043.4462,72287.4678,190732.7575,1346089847,32174.51303,0,23988.78348,16519.16414,42888,24304,31542.9137,935,14544,194850.5732,194850.5732,18060,18455.6167,14185.77526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552472.699,0,0,1492.102213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349788110
054,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,0,0,0,174,0,0,0,11585,2886.868292,8.36E+08,728818,9087.38675,0,3268,953,796,0,950,1008.5,1008.5,0,310.263078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39076.43579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836402519.4
055,______,0,0,0,0,0,0,0,0,0,0,0,0,607.579544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,756,0,0,0,0,0,0,0,0,0,0,0,0,0,9637.396101,32357.48686,10110,1.77E+08,113680.1414,9863,0,19851,148299.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177231941.4
056,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013,0,0,704.896979,0,0,9318,4,0,0,0,5314,0,8466.704344,0,9126.942163,2800208.551,449859.5029,374634,943278125.6,3420,80,12995,55090291.71,5124,14997877.19,0,0,0,2045.539431,10316.11714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.897932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017070860
057,_______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328827.127,0,0,0,0,0,3235.629084,206.0383671,21926.67969,1519603.928,0,0,86880.10773,344817967.5,0,145201.4241,1113.008674,506.278314,16374.68809,5530.342211,5530.342211,0,0,21214.2819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97907.4021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350072024.7
058,_______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660,0,0,0,0,0,0,0,0,0,0,0,6048.613584,7385.287031,0,71990.1419,35826,0,99344.70891,266,498519314.1,465,0,0,264,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28515.92969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498776181.7
059,____________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7219.276571,0,736,16962.52221,668902,0,40,5336,25,501738596.1,4571,7812,0,391.5,391.5,0,323,1353.345415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530306.5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502982965.8
060,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,924,0,0,0,5519.858254,13237.04462,9666.192503,0,19329.35941,0,0,1444,332062763.2,53923,13,3714.5,3714.5,904,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332178221.6
061,__________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23301,55656,0,22407.86295,0,3544.189767,6318.353621,0,527053.9267,130325,3416,23373,179080.1247,1.77E+08,0.00E+00,8079,8079,0,0,7880.834653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82779.50107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177712599
062,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17401.16176,2834.401624,0,0,0,0,4673,12788,1.10E+03,1.66E+08,1192,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.3229635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166201330.9
063,___,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.8585207,136,0,0,0,0,0,0,29560,0,0,0,0,0,768,0,0,0,0,0,0,37.5,0,0,0,3307,0,6088.124871,185118.8331,1853.503981,26427.1146,344.7576402,0,646.9443421,5076,24312.5,1662.5,378.5,0,0,51730497.24,51730497.24,645.5,1234.915238,28581.91442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285140.0727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104062523
064,__________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.8585207,136,0,0,0,0,0,0,29560,0,0,0,0,0,768,0,0,0,0,0,0,37.5,0,0,0,3307,0,6088.124871,185118.8331,1853.503981,26427.1146,344.7576402,0,646.9443421,5076,24312.5,1662.5,378.5,0,0,51730497.24,51730497.24,645.5,1234.915238,28581.91442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285140.0727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104062523
065,______,0,0,0,0,0,0,0,0,0,0,11558.88702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20276,0,0,0,0,0,0,20951,0,0,0,0,0,200608.9638,248.2089424,60407.79474,5017,0,0,0,2469,0,0,0,0,0,0,0,173623432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.2858361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341922.0172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174287095.2
066,____________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.287781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299.356893,111,120.2670063,13778.39433,382,0,0,5539,0,0,0,0,0,613,613,0,664031749.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26119.30998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664080638.3
067,__________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19147,0,0,10678,0,401.315657,1505.528876,6048.30652,25339.53044,2864.095125,0,4379.486716,0,0,0,0,0,0,0,1360,0,0,7551.961685,0,0,3533.560822,0,0,2910,0,40.01585414,0,0,0,0,1873.990741,15065.27695,0,12385.57756,4377,0,61210.96415,85,0,846,8,0,5945,51,51,0,0,1.66E+09,0.00E+00,0,0.00E+00,0,0,17.00001907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,232793.2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664394239
068,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019649636
069,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613657185,32198563.89,68621963.44,67644793.26,107121.518,238544.2186,99069.4797,0,0,0,0,0,0,0,2922394.512,313384.826,0,0,2265766.262,183629.1068,382642.6213,254052.728,285780.1224,0,0,180273.2334,0,0,0,0,0,0,15875.79462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789371040
070,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,6938370.171,2.12E+07,39189.7543,39189.7543,16.13752901,27254.17425,16485.53447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28298490.49
071,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43108962.86,58106.56594,4.90E+07,47982308.77,0,0,22428.61199,0,0,0,0,0,0,0,241451.8858,0,0,0,540014.794,10561.41156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140923313.9
072,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42131792.68,58106.56594,47982308.77,4.80E+07,0,0,22428.61199,0,0,0,0,0,0,0,241451.8858,0,0,0,540014.794,10561.41156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138968973.5
073,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68E+08,13459692.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157493.7034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881607079.1
074,______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18276835.5,298375259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316652094.5
075,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20525501.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20525501.05
076,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68581530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68581530.1
077,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66E+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26573263142
078,__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9363606481
079,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E+09,0,0,0,0,0,0,0,97827.19943,264097.0349,13578.24409,0,0,0,0,0,0,0,0,0,0,0,45908177.75,0,0,0,202289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5601113234
080,_________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4494252.163,0,0,0,1.24E+09,5451040.443,0,0,0,0,0,0,0,0,0,0,33344.82976,12373.40865,0,0,0,0,0,272983.945,0,0,2102035.966,191563.0903,12926367.25,365025609.8,364399.3992,0,13871230.72,1331203559,231920581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3206498982
081,_____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128313.0387,0,0,0,5839532.444,2.88E+08,0,0,0,0,0,0,0,0,0,0,1844.057971,651.6895318,0,0,0,0,0,16363.84483,0,0,19458.49981,1903.132928,2662568.07,11429214.03,310043.6159,0,28928861.83,5738850.321,53804979.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397366418.5
